Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Temperature Coefficient,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
R_ERJ-P08F40R2V,R,40.2 Ω,resistor_footprints:R_1206_3216Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 40.2 Ω 1% 1206 500V,Panasonic,ERJ-P08F40R2V,1%,100 ppm/°C,500V,1206,3216,ERJ-P08F,https://www.trustedparts.com/en/search/ERJ-P08F40R2V
R_ERJ-P06F40R2V,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 40.2 Ω 1% 0805 400V,Panasonic,ERJ-P06F40R2V,1%,100 ppm/°C,400V,0805,2012,ERJ-P06F,https://www.trustedparts.com/en/search/ERJ-P06F40R2V
R_ERJ-P03F40R2V,R,40.2 Ω,resistor_footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf,RES SMD 40.2 Ω 1% 0603 150V,Panasonic,ERJ-P03F40R2V,1%,150 ppm/°C,150V,0603,1608,ERJ-P03F,https://www.trustedparts.com/en/search/ERJ-P03F40R2V
R_RT0805BRB0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRB0740R2L,RES SMD 40.2 Ω 0.1% 0805 150V,Yageo,RT0805BRB0740R2L,0.1%,10 ppm/°C,150V,0805,2012,RT0805BRB07,https://www.trustedparts.com/en/search/RT0805BRB0740R2L
R_RT0805BRC0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRC0740R2L,RES SMD 40.2 Ω 0.1% 0805 150V,Yageo,RT0805BRC0740R2L,0.1%,15 ppm/°C,150V,0805,2012,RT0805BRC07,https://www.trustedparts.com/en/search/RT0805BRC0740R2L
R_RT0805BRD0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRD0740R2L,RES SMD 40.2 Ω 0.1% 0805 150V,Yageo,RT0805BRD0740R2L,0.1%,25 ppm/°C,150V,0805,2012,RT0805BRD07,https://www.trustedparts.com/en/search/RT0805BRD0740R2L
R_RT0805BRE0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805BRE0740R2L,RES SMD 40.2 Ω 0.1% 0805 150V,Yageo,RT0805BRE0740R2L,0.1%,50 ppm/°C,150V,0805,2012,RT0805BRE07,https://www.trustedparts.com/en/search/RT0805BRE0740R2L
R_RT0805DRE0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805DRE0740R2L,RES SMD 40.2 Ω 0.5% 0805 150V,Yageo,RT0805DRE0740R2L,0.5%,50 ppm/°C,150V,0805,2012,RT0805DRE07,https://www.trustedparts.com/en/search/RT0805DRE0740R2L
R_RT0805FRE0740R2L,R,40.2 Ω,resistor_footprints:R_0805_2012Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT0805FRE0740R2L,RES SMD 40.2 Ω 1% 0805 150V,Yageo,RT0805FRE0740R2L,1%,50 ppm/°C,150V,0805,2012,RT0805FRE07,https://www.trustedparts.com/en/search/RT0805FRE0740R2L
R_RT1206FRE0740R2L,R,40.2 Ω,resistor_footprints:R_1206_3216Metric,https://www.yageo.com/en/ProductSearch/PartNumberSearch?part_number=RT1206FRE0740R2L,RES SMD 40.2 Ω 1% 1206 200V,Yageo,RT1206FRE0740R2L,1%,50 ppm/°C,200V,1206,3216,RT1206FRE07,https://www.trustedparts.com/en/search/RT1206FRE0740R2L
