Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Dielectric,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series,Trustedparts Search
C_GCM216R71H153KA37J,C,15 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H153KA37-01.pdf,CAP SMD 15 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H153KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H153KA37J
C_VJ0603Y153KXBAC,C,15 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 15 nF X7R 10% 0603 100V,Vishay,VJ0603Y153KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y153KXBAC
C_GCM155R71H183KA55D,C,18 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H183KA55-01.pdf,CAP SMD 18 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H183KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H183KA55D
C_GCM155R71H183KA55J,C,18 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H183KA55-01.pdf,CAP SMD 18 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H183KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H183KA55J
C_GCM188R71H183KA37D,C,18 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H183KA37-01.pdf,CAP SMD 18 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H183KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H183KA37D
C_GCM188R71H183KA37J,C,18 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H183KA37-01.pdf,CAP SMD 18 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H183KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H183KA37J
C_GCM216R71H183KA37D,C,18 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H183KA37-01.pdf,CAP SMD 18 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H183KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H183KA37D
C_GCM216R71H183KA37J,C,18 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H183KA37-01.pdf,CAP SMD 18 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H183KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H183KA37J
C_VJ0603Y183KXBAC,C,18 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 18 nF X7R 10% 0603 100V,Vishay,VJ0603Y183KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y183KXBAC
C_GCM155R71H223KA55D,C,22 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H223KA55-01.pdf,CAP SMD 22 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H223KA55D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H223KA55D
C_GCM155R71H223KA55J,C,22 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H223KA55-01.pdf,CAP SMD 22 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H223KA55J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H223KA55J
C_GCM188R71H223KA37D,C,22 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H223KA37-01.pdf,CAP SMD 22 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H223KA37D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H223KA37D
C_GCM188R71H223KA37J,C,22 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H223KA37-01.pdf,CAP SMD 22 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H223KA37J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H223KA37J
C_GCM216R71H223KA37D,C,22 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H223KA37-01.pdf,CAP SMD 22 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H223KA37D,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H223KA37D
C_GCM216R71H223KA37J,C,22 nF,capacitor_footprints:C_0805_2012Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM216R71H223KA37-01.pdf,CAP SMD 22 nF X7R 10% 0805 50V,Murata Electronics,GCM216R71H223KA37J,X7R,10%,50V,0805,2012,GCM216R71H,https://www.trustedparts.com/en/search/GCM216R71H223KA37J
C_VJ0603Y223KXBAC,C,22 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 22 nF X7R 10% 0603 100V,Vishay,VJ0603Y223KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y223KXBAC
C_GCM188R71H273KA55D,C,27 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H273KA55-01.pdf,CAP SMD 27 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H273KA55D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H273KA55D
C_GCM188R71H273KA55J,C,27 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H273KA55-01.pdf,CAP SMD 27 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H273KA55J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H273KA55J
C_VJ0603Y273KXBAC,C,27 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 27 nF X7R 10% 0603 100V,Vishay,VJ0603Y273KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y273KXBAC
C_GCM155R71H333KE02D,C,33 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H333KE02-01.pdf,CAP SMD 33 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H333KE02D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H333KE02D
C_GCM155R71H333KE02J,C,33 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H333KE02-01.pdf,CAP SMD 33 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H333KE02J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H333KE02J
C_GCM188R71H333KA55D,C,33 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H333KA55-01.pdf,CAP SMD 33 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H333KA55D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H333KA55D
C_GCM188R71H333KA55J,C,33 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H333KA55-01.pdf,CAP SMD 33 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H333KA55J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H333KA55J
C_VJ0603Y333KXBAC,C,33 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 33 nF X7R 10% 0603 100V,Vishay,VJ0603Y333KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y333KXBAC
C_GCM188R71H393KA55D,C,39 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H393KA55-01.pdf,CAP SMD 39 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H393KA55D,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H393KA55D
C_GCM188R71H393KA55J,C,39 nF,capacitor_footprints:C_0603_1608Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM188R71H393KA55-01.pdf,CAP SMD 39 nF X7R 10% 0603 50V,Murata Electronics,GCM188R71H393KA55J,X7R,10%,50V,0603,1608,GCM188R71H,https://www.trustedparts.com/en/search/GCM188R71H393KA55J
C_VJ0603Y393KXBAC,C,39 nF,capacitor_footprints:C_0603_1608Metric,https://www.vishay.com/docs/45199/vjcommercialseries.pdf,CAP SMD 39 nF X7R 10% 0603 100V,Vishay,VJ0603Y393KXBAC,X7R,10%,100V,0603,1608,VJ0603Y,https://www.trustedparts.com/en/search/CL31/VJ0603Y393KXBAC
C_GCM155R71H473KE02D,C,47 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H473KE02-01.pdf,CAP SMD 47 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H473KE02D,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H473KE02D
C_GCM155R71H473KE02J,C,47 nF,capacitor_footprints:C_0402_1005Metric,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM155R71H473KE02-01.pdf,CAP SMD 47 nF X7R 10% 0402 50V,Murata Electronics,GCM155R71H473KE02J,X7R,10%,50V,0402,1005,GCM155R71H,https://www.trustedparts.com/en/search/GCM155R71H473KE02J
